"","calBP","PrDens"
"866",11135,0
"867",11134,0
"868",11133,0
"869",11132,0
"870",11131,0
"871",11130,0
"872",11129,0
"873",11128,0
"874",11127,0
"875",11126,0
"876",11125,0
"877",11124,0
"878",11123,0
"879",11122,0
"880",11121,0
"881",11120,0
"882",11119,0
"883",11118,0
"884",11117,0
"885",11116,0
"886",11115,0
"887",11114,0
"888",11113,0
"889",11112,0
"890",11111,0
"891",11110,0
"892",11109,0
"893",11108,0
"894",11107,0
"895",11106,0
"896",11105,0
"897",11104,0
"898",11103,0
"899",11102,0
"900",11101,0
"901",11100,0
"902",11099,0
"903",11098,0
"904",11097,0
"905",11096,0
"906",11095,0
"907",11094,0
"908",11093,0
"909",11092,0
"910",11091,0
"911",11090,0
"912",11089,0
"913",11088,0
"914",11087,0
"915",11086,0
"916",11085,0
"917",11084,0
"918",11083,0
"919",11082,0
"920",11081,0
"921",11080,0
"922",11079,0
"923",11078,0
"924",11077,0
"925",11076,0
"926",11075,0
"927",11074,0
"928",11073,0
"929",11072,0
"930",11071,0
"931",11070,0
"932",11069,0
"933",11068,0
"934",11067,0
"935",11066,0
"936",11065,0
"937",11064,0
"938",11063,0
"939",11062,0
"940",11061,0
"941",11060,0
"942",11059,0
"943",11058,0
"944",11057,0
"945",11056,0
"946",11055,0
"947",11054,0
"948",11053,0
"949",11052,0
"950",11051,0
"951",11050,0
"952",11049,0
"953",11048,0
"954",11047,0
"955",11046,0
"956",11045,0
"957",11044,0
"958",11043,0
"959",11042,0
"960",11041,0
"961",11040,0
"962",11039,0
"963",11038,0
"964",11037,0
"965",11036,0
"966",11035,0
"967",11034,0
"968",11033,0
"969",11032,0
"970",11031,0
"971",11030,0
"972",11029,0
"973",11028,0
"974",11027,0
"975",11026,0
"976",11025,0
"977",11024,0
"978",11023,0
"979",11022,0
"980",11021,0
"981",11020,0
"982",11019,0
"983",11018,0
"984",11017,0
"985",11016,0
"986",11015,0
"987",11014,0
"988",11013,0
"989",11012,0
"990",11011,0
"991",11010,0
"992",11009,0
"993",11008,0
"994",11007,0
"995",11006,0
"996",11005,0
"997",11004,0
"998",11003,0
"999",11002,0
"1000",11001,0
"1001",11000,0
"1002",10999,0
"1003",10998,0
"1004",10997,0
"1005",10996,0
"1006",10995,0
"1007",10994,0
"1008",10993,0
"1009",10992,0
"1010",10991,0
"1011",10990,0
"1012",10989,0
"1013",10988,0
"1014",10987,0
"1015",10986,0
"1016",10985,0
"1017",10984,0
"1018",10983,0
"1019",10982,0
"1020",10981,0
"1021",10980,0
"1022",10979,0
"1023",10978,0
"1024",10977,0
"1025",10976,0
"1026",10975,0
"1027",10974,0
"1028",10973,0
"1029",10972,0
"1030",10971,0
"1031",10970,0
"1032",10969,0
"1033",10968,0
"1034",10967,0
"1035",10966,0
"1036",10965,0
"1037",10964,0
"1038",10963,0
"1039",10962,0
"1040",10961,0
"1041",10960,0
"1042",10959,0
"1043",10958,0
"1044",10957,0
"1045",10956,0
"1046",10955,0
"1047",10954,0
"1048",10953,0
"1049",10952,0
"1050",10951,0
"1051",10950,0
"1052",10949,0
"1053",10948,0
"1054",10947,0
"1055",10946,0
"1056",10945,0
"1057",10944,0
"1058",10943,0
"1059",10942,0
"1060",10941,0
"1061",10940,0
"1062",10939,0
"1063",10938,0
"1064",10937,0
"1065",10936,0
"1066",10935,0
"1067",10934,0
"1068",10933,0
"1069",10932,0
"1070",10931,0
"1071",10930,0
"1072",10929,0
"1073",10928,0
"1074",10927,0
"1075",10926,0
"1076",10925,0
"1077",10924,0
"1078",10923,0
"1079",10922,0
