"","calBP","PrDens"
"178",11823,5.39433406493484e-05
"179",11822,5.39607236655245e-05
"180",11821,5.39774709864072e-05
"181",11820,5.39935798453099e-05
"182",11819,5.40095951919793e-05
"183",11818,5.40255138401821e-05
"184",11817,5.4041332529367e-05
"185",11816,5.40570479248729e-05
"186",11815,5.40726566182559e-05
"187",11814,5.40882809461857e-05
"188",11813,5.41038581992953e-05
"189",11812,5.41193252224671e-05
"190",11811,5.41346185907741e-05
"191",11810,5.41496747875541e-05
"192",11809,5.41642357440955e-05
"193",11808,5.41782025818289e-05
"194",11807,5.41914778913407e-05
"195",11806,5.42039661641571e-05
"196",11805,5.42155742120426e-05
"197",11804,5.42262212664612e-05
"198",11803,5.42361123366525e-05
"199",11802,5.42446224425478e-05
"200",11801,5.42519118940256e-05
"201",11800,5.42578929619134e-05
"202",11799,5.42620813695147e-05
"203",11798,5.42644074770383e-05
"204",11797,5.42648112784536e-05
"205",11796,5.4263025665397e-05
"206",11795,5.42590128411197e-05
"207",11794,5.42531485421197e-05
"208",11793,5.42454320660128e-05
"209",11792,5.42358679414978e-05
"210",11791,5.42244657380264e-05
"211",11790,5.42112398666309e-05
"212",11789,5.41961939248293e-05
"213",11788,5.41793324779261e-05
"214",11787,5.41606630001222e-05
"215",11786,5.41401966879574e-05
"216",11785,5.41182129365375e-05
"217",11784,5.40949661138335e-05
"218",11783,5.4070438436447e-05
"219",11782,5.40446134139761e-05
"220",11781,5.40174760393617e-05
"221",11780,5.39890129764866e-05
"222",11779,5.39588251472987e-05
"223",11778,5.39270901723312e-05
"224",11777,5.38935195402747e-05
"225",11776,5.38581049534538e-05
"226",11775,5.38208552300817e-05
"227",11774,5.37817441411617e-05
"228",11773,5.37408217134956e-05
"229",11772,5.3698171529959e-05
"230",11771,5.36539119803156e-05
"231",11770,5.3608428897786e-05
"232",11769,5.35620162282167e-05
"233",11768,5.35152314875322e-05
"234",11767,5.34681443928141e-05
"235",11766,5.34211215271587e-05
"236",11765,5.33745420208852e-05
"237",11764,5.33284546319762e-05
"238",11763,5.3283122991223e-05
"239",11762,5.32388087331579e-05
"240",11761,5.31957686245825e-05
"241",11760,5.31542518157639e-05
"242",11759,5.31143575809064e-05
"243",11758,5.30762187351465e-05
"244",11757,5.30399542976172e-05
"245",11756,5.30059097808233e-05
"246",11755,5.29735900733896e-05
"247",11754,5.29415205618697e-05
"248",11753,5.29097188530428e-05
"249",11752,5.28782018665502e-05
"250",11751,5.28469858393264e-05
"251",11750,5.28160863312141e-05
"252",11749,5.27835934285443e-05
"253",11748,5.27495247517536e-05
"254",11747,5.2713902303884e-05
"255",11746,5.26767523741942e-05
"256",11745,5.26381054292013e-05
"257",11744,5.25968867916471e-05
"258",11743,5.25531919500341e-05
"259",11742,5.2506892417716e-05
"260",11741,5.2458344951281e-05
"261",11740,5.24076703936651e-05
"262",11739,5.23544187423024e-05
"263",11738,5.22993597792899e-05
"264",11737,5.22428114779989e-05
"265",11736,5.21848564039119e-05
"266",11735,5.21258564176349e-05
"267",11734,5.20665342584964e-05
"268",11733,5.20071852573156e-05
"269",11732,5.19481393834208e-05
"270",11731,5.18897617825958e-05
"271",11730,5.18329192761206e-05
"272",11729,5.17753218657665e-05
"273",11728,5.17166120752574e-05
"274",11727,5.16573152628259e-05
"275",11726,5.15975048600694e-05
"276",11725,5.1537252840386e-05
"277",11724,5.14757751708941e-05
"278",11723,5.14137581414135e-05
"279",11722,5.13517655509198e-05
"280",11721,5.12902628852773e-05
"281",11720,5.12296394103823e-05
"282",11719,5.11704568881698e-05
"283",11718,5.11133182743306e-05
"284",11717,5.10588076251815e-05
"285",11716,5.10069856544354e-05
"286",11715,5.09581205435136e-05
"287",11714,5.09117287409473e-05
"288",11713,5.08679467405988e-05
"289",11712,5.08268969794403e-05
"290",11711,5.07884349145903e-05
"291",11710,5.07531928068946e-05
"292",11709,5.07186396755786e-05
"293",11708,5.06848700760367e-05
"294",11707,5.06519771330069e-05
"295",11706,5.06200521129829e-05
"296",11705,5.05891840089848e-05
"297",11704,5.05570461746376e-05
"298",11703,5.05239872869765e-05
"299",11702,5.04904557114748e-05
"300",11701,5.04563549301379e-05
"301",11700,5.04218465692431e-05
"302",11699,5.03871779237692e-05
"303",11698,5.03525286238316e-05
"304",11697,5.03180796398725e-05
"305",11696,5.028422929006e-05
"306",11695,5.02506713579788e-05
"307",11694,5.02178988248132e-05
"308",11693,5.018596703443e-05
"309",11692,5.0154928512143e-05
"310",11691,5.01248330365587e-05
"311",11690,5.0095727722069e-05
"312",11689,5.00680264550191e-05
"313",11688,5.0041726691283e-05
"314",11687,5.00170850100522e-05
"315",11686,4.99941130288167e-05
"316",11685,4.99722928911304e-05
"317",11684,4.99513051528164e-05
"318",11683,4.9931150716314e-05
"319",11682,4.99118302215108e-05
"320",11681,4.98933440462935e-05
"321",11680,4.98756923071549e-05
"322",11679,4.98582685037237e-05
"323",11678,4.98410735180357e-05
"324",11677,4.98241081960247e-05
"325",11676,4.9807373347346e-05
"326",11675,4.97908697452096e-05
"327",11674,4.97741035180897e-05
"328",11673,4.97570975251075e-05
"329",11672,4.97398754894751e-05
"330",11671,4.97224620521014e-05
"331",11670,4.9704882829041e-05
"332",11669,4.96870325242498e-05
"333",11668,4.96690714072317e-05
"334",11667,4.96511788326441e-05
"335",11666,4.96335552057574e-05
"336",11665,4.96164237464627e-05
"337",11664,4.96005979406074e-05
"338",11663,4.95871410291789e-05
"339",11662,4.95763079466758e-05
"340",11661,4.9569096873844e-05
"341",11660,4.95658659508588e-05
"342",11659,4.95664802465079e-05
"343",11658,4.95716613701208e-05
"344",11657,4.95822104954017e-05
"345",11656,4.95990130530251e-05
"346",11655,4.96230418910859e-05
"347",11654,4.96561116692227e-05
"348",11653,4.96992184916675e-05
"349",11652,4.97533751742171e-05
"350",11651,4.98195917415847e-05
"351",11650,4.98988528888348e-05
"352",11649,4.99887928927367e-05
"353",11648,5.00901379221335e-05
"354",11647,5.02025908633567e-05
"355",11646,5.03262474967543e-05
"356",11645,5.04611407521344e-05
"357",11644,5.05985540923434e-05
"358",11643,5.07384203268288e-05
"359",11642,5.08808973090534e-05
"360",11641,5.10256587117948e-05
"361",11640,5.1172615176556e-05
"362",11639,5.1316437391843e-05
"363",11638,5.14569927556852e-05
"364",11637,5.15937661696038e-05
"365",11636,5.17267931804715e-05
"366",11635,5.18558348265502e-05
"367",11634,5.19763183089328e-05
"368",11633,5.20877770437137e-05
"369",11632,5.21907359967781e-05
"370",11631,5.22851731776572e-05
"371",11630,5.23705774597419e-05
"372",11629,5.24477468886751e-05
"373",11628,5.2517259557123e-05
"374",11627,5.25788802359505e-05
"375",11626,5.26328937730331e-05
"376",11625,5.26796511139325e-05
"377",11624,5.27270802421848e-05
"378",11623,5.27745154839536e-05
"379",11622,5.28214132502211e-05
"380",11621,5.28673278687259e-05
"381",11620,5.29118895000157e-05
"382",11619,5.29546934833129e-05
"383",11618,5.29951371648948e-05
"384",11617,5.30326367784331e-05
"385",11616,5.30671318875658e-05
"386",11615,5.30983545750803e-05
"387",11614,5.31281349552515e-05
"388",11613,5.31564047772103e-05
"389",11612,5.31831103475435e-05
"390",11611,5.32084652807717e-05
"391",11610,5.32319065410126e-05
"392",11609,5.32517648714303e-05
"393",11608,5.32681570223953e-05
