index,X1,X2,X3
304,0,1.47336E-06,7.13919E-06
305,0,1.4733E-06,7.15668E-06
306,0,1.4733E-06,7.16668E-06
307,0,1.47334E-06,7.17067E-06
308,0,1.47341E-06,7.19209E-06
309,0,1.47353E-06,7.21314E-06
310,0,1.47368E-06,7.23379E-06
311,0,1.47387E-06,7.21155E-06
312,0,1.47408E-06,7.16643E-06
313,0,1.4743E-06,7.12985E-06
314,0,1.47453E-06,7.0819E-06
315,0,1.47478E-06,7.06516E-06
316,0,1.47504E-06,7.05326E-06
317,0,1.4753E-06,7.05661E-06
318,0,1.47555E-06,7.06414E-06
319,0,1.4758E-06,7.0713E-06
320,0,1.47604E-06,7.0778E-06
321,0,1.47628E-06,7.08345E-06
322,0,1.47653E-06,7.06378E-06
323,0,1.47677E-06,7.03265E-06
324,0,1.47702E-06,7.00235E-06
325,0,1.47728E-06,6.99501E-06
326,0,1.47753E-06,7.00058E-06
327,0,1.47781E-06,6.99934E-06
328,0,1.4781E-06,6.96972E-06
329,0,1.4784E-06,6.96021E-06
330,0,1.47873E-06,6.96309E-06
331,0,1.47907E-06,6.96598E-06
332,0,1.47945E-06,6.9696E-06
333,0,1.47987E-06,6.97353E-06
334,0,1.48034E-06,6.97724E-06
335,0,1.48085E-06,6.98111E-06
336,0,1.4814E-06,6.97865E-06
337,0,1.48203E-06,6.97409E-06
338,0,1.48274E-06,6.96909E-06
339,0,1.48353E-06,6.96361E-06
340,0,1.48441E-06,6.95766E-06
341,0,1.48538E-06,6.9512E-06
342,0,1.48644E-06,6.94427E-06
343,0,1.48758E-06,6.94651E-06
344,0,1.48882E-06,6.96971E-06
345,0,1.49016E-06,6.9925E-06
346,0,1.4916E-06,6.93154E-06
347,0,1.49314E-06,6.90183E-06
348,0,1.49477E-06,6.8942E-06
349,0,1.49651E-06,6.90594E-06
350,0,1.49835E-06,6.91742E-06
351,0,1.50029E-06,6.92843E-06
352,0,1.5023E-06,6.93852E-06
353,0,1.50437E-06,6.94787E-06
354,0,1.50651E-06,6.95661E-06
355,0,1.50872E-06,6.96472E-06
356,0,1.51098E-06,6.96799E-06
357,0,1.51324E-06,6.95678E-06
358,0,1.51549E-06,6.97734E-06
359,0,1.51773E-06,6.97378E-06
360,0,1.51995E-06,6.97702E-06
361,0,1.52215E-06,6.96502E-06
362,0,1.52427E-06,6.94505E-06
363,0,1.5263E-06,6.93343E-06
364,0,1.52825E-06,6.95713E-06
365,0,1.5301E-06,6.97924E-06
366,0,1.53184E-06,7.00184E-06
367,0,1.53349E-06,7.01903E-06
368,0,1.53502E-06,7.02696E-06
369,0,1.53644E-06,7.02939E-06
370,0,1.53775E-06,7.03166E-06
371,0,1.53896E-06,7.03377E-06
372,0,1.54012E-06,7.03611E-06
373,0,1.54125E-06,7.03868E-06
374,0,1.54233E-06,7.04145E-06
375,0,1.54338E-06,7.04396E-06
376,0,1.54439E-06,7.04645E-06
377,0,1.54548E-06,7.04942E-06
378,0,1.54664E-06,7.05291E-06
379,0,1.54786E-06,7.05334E-06
380,0,1.54914E-06,7.04246E-06
381,0,1.55047E-06,7.06837E-06
382,0,1.55188E-06,7.07616E-06
383,0,1.55335E-06,7.08506E-06
384,0,1.55488E-06,7.09491E-06
385,0,1.55645E-06,7.105E-06
386,0,1.55804E-06,7.13873E-06
387,0,1.55965E-06,7.20606E-06
388,0,1.56127E-06,7.26744E-06
389,0,1.5629E-06,7.32517E-06
390,0,1.56452E-06,7.40363E-06
391,0,1.56615E-06,7.38762E-06
392,0,1.56775E-06,7.37187E-06
393,0,1.56932E-06,7.37309E-06
394,0,1.57087E-06,7.38497E-06
395,0,1.57239E-06,7.39685E-06
396,0,1.57388E-06,7.40874E-06
397,0,1.57534E-06,7.43735E-06
398,0,1.57677E-06,7.48275E-06
399,0,1.57817E-06,7.52661E-06
400,0,1.57954E-06,7.56888E-06
401,0,1.58086E-06,7.58653E-06
402,0,1.58215E-06,7.57581E-06
403,0,1.58339E-06,7.61645E-06
404,0,1.58459E-06,7.65488E-06
405,0,1.58574E-06,7.68956E-06
406,0,1.58684E-06,7.64589E-06
407,0,1.58792E-06,7.59144E-06
408,0,1.589E-06,7.54944E-06
409,0,1.59006E-06,7.56204E-06
410,0,1.59111E-06,7.57426E-06
411,0,1.59215E-06,7.58611E-06
412,0,1.59319E-06,7.59794E-06
413,0,1.59422E-06,7.60977E-06
414,0,1.59526E-06,7.62159E-06
415,0,1.5963E-06,7.6328E-06
416,0,1.59735E-06,7.62137E-06
