"","calBP","PrDens"
"65",11936,2.58657218858228e-05
"66",11935,2.58868761754398e-05
"67",11934,2.59092261154373e-05
"68",11933,2.59325283140592e-05
"69",11932,2.59570060624777e-05
"70",11931,2.59824241228239e-05
"71",11930,2.60089945867835e-05
"72",11929,2.60359593848756e-05
"73",11928,2.60633154659457e-05
"74",11927,2.60910598124688e-05
"75",11926,2.61191894451641e-05
"76",11925,2.6147701427594e-05
"77",11924,2.61761454391708e-05
"78",11923,2.62044970691326e-05
"79",11922,2.6232509864544e-05
"80",11921,2.62603773292782e-05
"81",11920,2.6288079176339e-05
"82",11919,2.63154558523937e-05
"83",11918,2.63424935459888e-05
"84",11917,2.63691793484262e-05
"85",11916,2.63955012252684e-05
"86",11915,2.64214479874227e-05
"87",11914,2.64472508518178e-05
"88",11913,2.64729094177602e-05
"89",11912,2.64984232830795e-05
"90",11911,2.6523792044209e-05
"91",11910,2.65490152962666e-05
"92",11909,2.65744321025672e-05
"93",11908,2.6600035981793e-05
"94",11907,2.66258201025878e-05
"95",11906,2.66517772747617e-05
"96",11905,2.6677899940592e-05
"97",11904,2.67037325945707e-05
"98",11903,2.67292741691188e-05
"99",11902,2.67545236063707e-05
"100",11901,2.67794798582002e-05
"101",11900,2.68041418862463e-05
"102",11899,2.6828101406812e-05
"103",11898,2.6851336467622e-05
"104",11897,2.68738272269189e-05
"105",11896,2.68955558520087e-05
"106",11895,2.69165064176674e-05
"107",11894,2.69363070129614e-05
"108",11893,2.69549245727037e-05
"109",11892,2.69723337830394e-05
"110",11891,2.69885162691717e-05
"111",11890,2.70034598342074e-05
"112",11889,2.70178478169825e-05
"113",11888,2.70308805561003e-05
"114",11887,2.70427850267661e-05
"115",11886,2.70535766346989e-05
"116",11885,2.7063272660197e-05
"117",11884,2.70723601033464e-05
"118",11883,2.70808513047376e-05
"119",11882,2.70887593259059e-05
"120",11881,2.70960979130616e-05
"121",11880,2.71026570430838e-05
"122",11879,2.71095277150154e-05
"123",11878,2.71167086240407e-05
"124",11877,2.71239758103775e-05
"125",11876,2.71315426745355e-05
"126",11875,2.71394087279031e-05
"127",11874,2.71481495221284e-05
"128",11873,2.71577624991698e-05
"129",11872,2.71682460517658e-05
"130",11871,2.71795996226275e-05
"131",11870,2.71918238014139e-05
"132",11869,2.72053106069281e-05
"133",11868,2.72200676837565e-05
"134",11867,2.72361047134114e-05
"135",11866,2.72534334779394e-05
"136",11865,2.72720679054943e-05
"137",11864,2.7291887773364e-05
"138",11863,2.73131261477421e-05
"139",11862,2.73355713958651e-05
"140",11861,2.73594607766008e-05
"141",11860,2.73843829355759e-05
"142",11859,2.74104613348618e-05
"143",11858,2.74377112057923e-05
"144",11857,2.74663679318632e-05
"145",11856,2.74962184655062e-05
"146",11855,2.75272788522936e-05
"147",11854,2.75590610482627e-05
"148",11853,2.7591569139704e-05
"149",11852,2.76248071624714e-05
"150",11851,2.76587790958922e-05
"151",11850,2.76934888565444e-05
"152",11849,2.77285007779101e-05
"153",11848,2.77638171810324e-05
"154",11847,2.77994403534992e-05
"155",11846,2.78353725488973e-05
"156",11845,2.78716159861959e-05
"157",11844,2.79075282498135e-05
"158",11843,2.79431118109726e-05
"159",11842,2.79783691315813e-05
"160",11841,2.80133026612273e-05
"161",11840,2.80479148342781e-05
"162",11839,2.80813124968623e-05
"163",11838,2.8113505192015e-05
"164",11837,2.81445024465567e-05
"165",11836,2.81743137546313e-05
"166",11835,2.82029485625629e-05
"167",11834,2.82303061306348e-05
"168",11833,2.82566256820791e-05
"169",11832,2.82814575425816e-05
"170",11831,2.83050265530679e-05
"171",11830,2.83268896241573e-05
"172",11829,2.83478856114001e-05
"173",11828,2.83680183941564e-05
"174",11827,2.83872917410426e-05
"175",11826,2.84057093054055e-05
"176",11825,2.84232746209516e-05
"177",11824,2.84404594150236e-05
"178",11823,2.8457264119157e-05
"179",11822,2.84736891384932e-05
"180",11821,2.84897348513126e-05
"181",11820,2.85054016085787e-05
"182",11819,2.85211355553764e-05
"183",11818,2.85369367791073e-05
"184",11817,2.85528053704346e-05
"185",11816,2.85687414233342e-05
"186",11815,2.85847450351475e-05
"187",11814,2.86013485982431e-05
